1.43E+12,-30,-9,41,45,9,-1,3,-8,0
1.43E+12,-5,-8,-34,-33,-19,-13,-24,-98,0
1.43E+12,28,23,10,-71,-18,-7,3,32,0
1.43E+12,21,2,9,-48,-4,-2,-30,-92,0
1.43E+12,15,100,55,76,16,7,9,9,0
1.43E+12,8,20,16,76,16,10,31,75,0
1.43E+12,84,-30,-45,-40,-4,-2,14,55,0
1.43E+12,-13,-47,10,-17,4,-1,-16,-53,0
1.43E+12,14,7,-128,-65,-2,10,42,60,0
1.43E+12,30,-60,13,59,12,2,-14,-54,0
1.43E+12,19,-25,-119,-112,-11,-4,-25,-55,0
1.43E+12,30,1,31,-74,-19,-15,-1,62,0
1.43E+12,-2,-15,23,84,14,3,-12,-104,0
1.43E+12,-112,-66,60,-43,-5,5,35,44,0
1.43E+12,46,67,69,14,0,-4,2,18,0
1.43E+12,43,21,-32,88,4,-2,-22,-13,0
1.43E+12,87,33,52,-48,8,7,15,73,0
1.43E+12,-36,48,61,-28,5,0,-23,-45,0
1.43E+12,0,-24,-53,-38,-11,-2,-10,-118,0
1.43E+12,7,-30,-69,0,-6,-6,-26,-14,0
1.43E+12,-11,19,67,3,1,2,52,78,0
1.43E+12,34,8,-4,-23,-4,-4,-39,-74,0
1.43E+12,3,-40,-12,34,8,1,-22,3,0
1.43E+12,13,14,-1,-44,-8,12,74,108,0
1.43E+12,-17,-45,-128,9,-17,-13,7,45,0
1.43E+12,-31,23,4,23,6,1,-53,-128,0
1.43E+12,11,7,33,21,12,4,-31,-47,0
1.43E+12,2,19,-58,-53,-21,-11,-16,-30,0
1.43E+12,3,22,0,13,8,5,-10,-6,0
1.43E+12,3,-44,77,-3,-36,-21,-44,-81,0
1.43E+12,58,18,-46,93,16,5,14,44,0
1.43E+12,37,24,29,-2,4,-3,-12,-17,0
1.43E+12,-12,31,-45,0,-2,-1,-23,-58,0
1.43E+12,40,23,32,7,-1,1,-9,-20,0
1.43E+12,13,15,28,-93,6,2,-14,-30,0
1.43E+12,-11,13,19,4,3,11,48,70,0
1.43E+12,-21,-16,-34,51,-3,-8,-12,-12,0
1.43E+12,-28,-43,56,-1,-6,-3,8,24,0
1.43E+12,-25,-36,-48,-112,-22,-12,-26,-70,0
1.43E+12,-48,3,21,50,8,7,24,43,0
1.43E+12,83,19,58,-5,5,0,-8,-14,0
1.43E+12,-10,-6,-18,5,7,-1,-16,-2,0
1.43E+12,6,-24,-93,6,-7,-5,8,77,0
1.43E+12,-31,16,-17,58,-3,-9,-47,-68,0
1.43E+12,0,39,7,0,12,8,1,-15,0
1.43E+12,3,0,-20,-79,-5,-2,-11,-32,0
1.43E+12,7,-15,9,-35,-6,8,90,97,0
1.43E+12,-99,-78,-34,9,-3,-4,-9,-8,0
1.43E+12,26,45,-31,11,5,0,-10,-9,0
1.43E+12,0,-15,-23,-108,-50,-23,-24,-54,0
1.43E+12,-8,7,7,57,17,3,-27,-74,0
1.43E+12,-4,38,-20,-33,7,3,-8,29,0
1.43E+12,16,57,-40,7,2,0,-21,-19,0
1.43E+12,-52,17,51,-49,0,-3,-52,-110,0
1.43E+12,37,-3,-16,27,16,9,45,-15,0
1.43E+12,-6,54,-23,20,-3,-9,-48,-11,0
1.43E+12,16,19,-8,-59,-11,-2,3,8,0
1.43E+12,25,-26,-19,118,13,11,75,127,0
1.43E+12,55,14,-28,14,9,10,51,62,0
1.43E+12,-60,5,-80,-8,0,8,47,59,0
1.43E+12,28,-14,37,7,6,1,-19,-39,0
1.43E+12,45,-9,49,-8,4,-1,0,-15,0
